Question,Subj_Q,Answer,Subj_A,Domain
كيف تتعامل مع ظاهرة احتكار أسماء النطاقات خلال عملك ,0,مررت بتجربة مريرة من قبل نتيجة لهذا الاحتكار  كان لدي اسم نطاق لموقعي وقد تأخرت في دفع التجديد بسبب مشكلة ما   بعد يوم واحد تم أخذ النطاق من قبل أحد الشركات  بعدها عانيت من أجل استرجاعه ولم أستطع وهذا أثر كلي ا على مشروع الموقع وقتها وكان عامل ا رئيسي ا أدى لفشله  تقوم تلك الشركات بشراء النطاقات ثم عرضها للبيع بسعر أعلى بكثير   لأنني حسبما أعمل أن لاسم النطاق ع مر   وكلما طال ذلك العمر كلما كان أفضل وأكثر مصداقية لدى جوجل   وبالتأكيد يرتفع سعره نتيجة لهذا  تخيل حجم المال الذي يتم ربحه من خلال اصطياد أسماء النطاقات هذه   لم أستطع التعامل  كانت مشكلة جديدة تمام ا بالنسبة لي  الحل كان دفع مبلغ ا مادي ا عالي ا جد ا خصوص ا وأن اسم النطاق الخاص بي كان له ترتيب وظهور ممتاز في جوجل  الحلول صعبة  لأن الطريقة التي تسير بها هذه الشركات عملها احترافية جد ا  هم يبحثون عن كلمات مفتاحية شهيرة من المتوقع أن تصبح نطاقات ثم يبدؤون في تجميعها وشرائها  وبالتالي من الصعب توقعهم أو حتى اقتراح حلول  لكن أتمنى  الجدير بالذكر أن حل اختيار  com أو  org بدل ا من  net أو التبديل بين أسماء النطاقات ليس أمر ا بذلك القدر من الاحترافية  لأن لكل نطاق استخدام معين  فمثل ا ال org موجه للمؤسسات التي لا تنوي الربح  ,0,تطوير الويب
كنز لايباع الارتباط بمنصة الصحفيين HARO,0,سبق و ان اطلعت على هذي المنصة ليس لارتباط ولكن للفضول المنصة تقنييا لفت انتباهي ,1,تطوير الويب
أيهما أفضل الموقع الديناميكي أم الثابت  وما الفرق بينهما ,1,هناك مولدات المواقع الساكنة ميزاتها تبدو مثيرة من السرعة والأمان بالرغم من أنها من المواقع الساكنة إلا أنها قابلة للتحديث تنفع للمدونات والمجلات الأخبارية أو أي موقع فقط لعرض المحتوى حيث أنها تجمع بين ميزات المواقع الساكنة وبعض من ميزات الديناميكية,0,تطوير الويب
كيف نحمي مواقعنا من الاختراق ,0,كل ما سبق ضروريا  جدا  في الجانب التقني من الأمور  ولكن الاهم وبحسب كل من يعل م هذه المجالات المتعل قة بالاختراق وبناء الأكواد المضادة  أن  عليك أن تملك تفكير أمني لحماية نفسك  وبما أن المخترق يفكر بطريقة اختراق الموقع فربما أول فكرة تأتي إلى باله هي المدخلات  يعتبر خطر المدخلات من أسهل الطرق للمخترق للدخول الى موقعك واسقاطه دون أن تشعر  لكن لحسن الحظ فهذه الثغرة ان صحت تسميتها هي أسهل الثغرات لحمايتها وتبقى العقلية وحدها هي المهمة  أن تتوقع ما الذي يمكن أن يفكر فيك أي عدو فتحاول أن تدم ر نفسك قبل أن ي دم رك الم خترق ,1,تطوير الويب
هل استخدم قاعدة بيانات لكل مشترك   أم قاعدة بيانات واحدة للكل  ,0,إذا وضعت لكل مشترك قاعدة بيانات منفصلة فربما في هذه الحالة سيكون عليك إستقبال طلبات الإشتراك والموافقة عليها manually ومن ثم الشروع بإنشاء قاعدة بيانات ذات الصلة بالمشترك   وبالتالي ماذا لو اصبح لديك ١٠٠ الف مشترك  كيف ستتعامل مع الأمر طالما أنه يمكنك إحتواء جميع المميزات المطروحة في تطبيقك في schema واحدة في قاعدة البيانات  لذا سيكون من السهل متابعة كل المشتركين والمعالجة من لوحة أدمن واحدة مرتبطة بقاعدة البيانات ,0,تطوير الويب
ماذا تفضل Windows 11 أم Linux   شاركونا رأيكم ,0,كنت أستخدم لينكس لمدة في تطوير الويب لكني الآن عدت إلى الويندوز أشعر بالوحدة عندما أستخدم لينكس لكوني مستخدم برامج أدوبي بكثرة   كمستخدم غير متعمق كثيرا في اللينكس لا يناسبني صحيح لينكس نظام قوي وآمن جدا إلا أن مشكلة بسيطة أمام مستخدم عادي غير معتاد على سطر الأوامر سيصبح كابوسا بالنسبة له,1,تطوير الويب
تطوير الويب  كيف أدخل لهذا المجال وما هي اللغات المستخدمة به ,0,تطوير الويب من أكثر المجالات طلب ا في سوق البرمجة  ويوجد فيه عدد من الفروع التي يمكنك التخصص فيها وعدد من لغات البرمجة التي يمكنك تعلمها في البداية يجب أن تعلم التخصصات الرئيسية في هذا المجال هو المبرمج الذي يقوم بتحويل تصميم معين  مجرد صورة تخيلية   لموقع ما إلى أكواد  الأزرار  النصوص والصور والقوائم وغير من مكونات في الموقع  يقوم هذا المبرمج بإنشائها وبرمجتها حتى يتمكن المستخدم العادي من استعمالها  ويستعمل في هذا التخصص لغات مثل HTML و CSS و JavaScript   ويمكن التقدم أكثر في هذا المجال وتعلم أحد إطارات العمل المتقدمة أكثر مثل Vue js و React js و Angular js  يوجد غيرها ولكنهم الأكثر طلب ا في الوقت الحالي  يقوم هذا المبرمج بالتعامل مع الكود الموجود على الخادم وجلب البيانات المخزنة في قواعد البيانات Databases ليتم عرضها داخل كود الموقع  كما يقوم بكتابة الكود المسئول عن إدارة تسجيل المستخدمين في الموقع والتعليقات والمنشورات     إلخ  وتخزينها في قاعدة البيانات ليتم جلبها مرة أخرى حين الحاجة إليها  في هذا المجال يتم استعمال لغات مثل PHP و  Node js  JavaScript و Python  تحتاج إلى إتقان أحد هذه اللغات فقط  وليس جميعهم  هو مطور يتقن كلا الجانبين  Frontend   Backend  ويمكنه إنشاء الموقع بالكامل من الصفر وحتى نشره على الإنترنت في النهاية  كما ستحتاج إلى معرفة المزيد من الأمور في هذا المجال مثل كيفية التعامل مع الخادم ورفع الموقع وربطه بنطاق Domain     إلخ يمكنك أن تطلع على مزيد من المعلومات حول تطوير الويب وأنواع أخرى من البرمجة من خلال المقالة التالي تعلم البرمجة وتطوير التطبيقات والبرمجيات من خلال الدليل الأشمل عربي ا وذلك لتعلم البرمجة خطوة بخطوة من الصفر حتى الاحتراف باللغة العربيةإن أردت أن تبدأ من البداية تمام ا  فأنصح بالإطلاع على سلسلة مقالات full_stack_101 في أكاديمية حسوب ,0,تطوير الويب
كمطو ر مواقع هل تعترف بـ  التوقيع الإلكتروني  على عقود العمل ,0,لدي تجربة مع التوقيع الإلكتروني من جهة  ومع إرفاق التوقيعات بشكل إلكتروني من جهة أخرى  بالنسبة لإرفاق التوقيعات  فقط مر  الأمر علي  أكثر من مر ة فيما يخص التوقيع على مختلف أشكال الإقرارات المتعل قة بأي جهة  حيث أن الإقرارات دائم ا ما يفص ل أن يتم توقيعها ورفعها إلى ملف رقمي من خلال الـscanner  ثم إرفاقها للجهة أم ا بالنسبة للتوقيع الإلكتروني بشكله الذي تعنيه  فهو لم يمر علي  فيما يخص العقود القانونية بأي شكل من الأشكال  لكنه مر  علي  في تجارب الدورات التدريبية بالتحديد  حيث أنني لاحظت  أن فكرة التوقيع الإلكتروني بشكل عام تستهلك بكثافة كبيرة في التوقيع على الشهادات التدريبية الرسمية عبر الإنترنت ,0,تطوير الويب
كيف استعيد مهاراتي في الويب    بعد الخدامه العسكرية ,0,لا لست بحاجة للبدء من البداية  ولكن عليك مراجعه اساسيات الـ css ويمكنك فعل ذلك من كثير من المصادر وأفضلها هو الملخصات الخاصة بالـ css فيحال كنت قد قمت بالتلخيص سابقا  أو يمكنك الاطلاع على الصفحة الرئيسية للـ css من موسوعة حسوب والتي تحتوي على شرح مختصر لكل عناصر css والهدف هنا ليس حفظ كل العناصر ولكن معرفتها ومعرفة ما تستطيع عمله وذلك حتى تستطيع العودة إليها فيحال احتجت لاستخدامها         CSS   موسوعة حسوب  wiki hsoub com CSS شرح لغة CSS باللغة العربية مدع م بالأمثلة يشمل كافة أكواد  خاصيات  ودوال لغة CSS ضمن توثيق موسوعة حسوب الكامل وعالي الجودة لمختلف لغات البرمجة وتقنيات        شرح لغة CSS باللغة العربية مدع م بالأمثلة يشمل كافة أكواد  خاصيات  ودوال لغة CSS ضمن توثيق موسوعة حسوب الكامل وعالي الجودة لمختلف لغات البرمجة وتقنيات   ومع الممارسة ستجد نفسك قد حفظت اغلب هذه الوظائف وفي حال كنت تحب الاطلاع على الـ css باللغة لإنجليزية فيمكنك الاطلاع على هذا الموقع بدلا  من موسوعة حسوب  W3Schools offers free online tutorials  references and exercises in all the major languages of the web  Covering popular subjects like HTML  CSS  JavaScript  Python  SQL    وبعد الاطلاع على اساسيات css يمكنك الالتفات للتطبيق العملي وذلك بالبحث عبر الانترنت عن مشروع html و css وسيظهر لك عشرت الاشخاص الذي يقومون بتعليمك كيفية بناء مثل هذه المشاريع  وعليك ان تقوم بالتطبيق معهم وكتابة الافكار الجديدة التي يطرحونها والتقنيات التي يستخدمونها بحيث يكون لديك مرجع تستطيع العودة إليه عندما تحتاج لاستخدام مثل هذه التقنيات وليس هنالك شخص معين انصح به ولكن يمكنك البحث واختيار الشخص الذي تشعر بأنت تستفيد منه ,0,تطوير الويب
هل يمكنني العثور علي وظيفة في البمجه بدون شهاده علوم حاسب  ,0,ليس شرطا لكي تعمل بالبرمجةأن تكون مجال دراستك بالجامعة  أعرف  مبرمجين بالمجال لم يكن تخصصهم الجامعي  المهم أن تعد نفسك جيد ا للدخول والعمل بهذا المجال  أيضا الحصول على دورات متخصصة تتابع وتتأكد أنك اصبحت مؤهلا للسوق  أجد أنها مفيدة جد ا وهنا أرشح دورات أكاديمية حسوب كخيار أول  ومتابعة مقالات أكاديمية حسوب وموسوعة حسوب سيفرق معك الأمر كثير ا مهم جدا التطبيق  يعني مع كل ما تعلمته لماذا لم تدخل لسوق العمل الحر يمكنك البدء من خلال مستقل والتقدم للمشاريع المتخصصة والتي تجد نفسك مؤهل لها  لتكوين سابقة أعمال واكتساب خبرة عملية  مع كل ذلك وتوافر العلم والخبرة العملية ستتمكن من الحصول على فرصة عمل كمطور ويب  وهنا أنصحك بمتابعة موقع بعيد  لتطلع على وظائف البرمجة التي تنشر من قبل الشركات والشروط التي يطلبونها باستمرار لتجهز نفسك وفقها ,0,تطوير الويب
صناعة الصور بالذكاء الإصطناعي  هل سيحل محل برامج تعديل الصور ,0,عندما اطلعت على هذه التقنية لأول مرة  أول جملة قولتها انتهى عمل كثير من المصممين  خاصة  أن جودة الصور احترافية وحصرية أيضا كما ذكرت  وفكرت في المواقع التي تبيع الصور مثل شاتر ستوك ما وضعها بوجود هذه التقنيات وتطورها  هل سينتهي وجودها   خاصة في ظل التطور في أداء الذكاء الاصطناعي وفهمه لأساسيات التصميم واختيار الصور وتحديدها  وأنماط التصميم  والتعامل مع بيانات الإدخال  برأيي سيعطوا نتائج أفضل مقارنة بالمصميين ,0,تطوير الويب
كيف نترجم جملة  التصميم لا يعجبني  التي يقولها العميل ,1, الخطأ من البداية  يقع على المصممين      دائما لا تبدء في عمل أي تصميم قبل أن تأخذ التفاصيل من العميل ونقاش معه في أدق التفاصيل حتى نوع الخط اللون  حجم النصوص و  مشاركته  وإطلاع العميل على بعض الأمثله  حتى تسطيع أنت كمصمم الخروج بفكره عن التصميم المطلوب  ,1,تطوير الويب
3 ما هي أطر عمل CSS   وسرد ميزاتها والاختلافات بينها ,0,أتفق معك تماما  يا صديقي فيما ذكرت والحقيقة أن أطر عمل CSS كثيرة ومتعددة   ولكن برأيك ما هو سبب إنتشار إطار العمل Bootstrap  ومع كوني من مستخدمية فقد أضاف لي الكثير في بناء القوالب بشكل أكثر من الرائع وبإستشعار ذلك أكثر لمن عمل من خلال CSS بشكل كامل مقارنة مع إستخدام CSS framework ,1,تطوير الويب
متى أخر مر ة خر جت فيها  زكاة علمك    ,0,سأتحدث عن الفترة الحالية التي أمر بها  أحاول الإجابة على أسئلة الآخرين في موقع كورا  والنشر في مدونتي مما أستفيده وأتعلمه وأيضا أشارك عددا مع الدروس في نشرتي البريدية والتي لا اربح من خلالها ولا حتى من خلال المدونة حاليا  وسأستمر بإذن الله بمشاركة كل ما أتعلمه  أريد الإشارة إلى نقطة مهمة يا أستاذ عبد الفتاح  في بدايتي في العمل الحر كنت أحاول التواصل مع عدد من الخبراء في عدة مجالات لكن لا أحد ردودا وفي النهاية رد علي  شخص كان من أفضل هؤلاء الخبراء في نظري  ومن يومها قررت أن أرد على أي رسالة تصلني في الخاص وأجيب على أي سؤال مهما كان بسيطا كلما شاركنا العلم  زادنا الله من فضله علما ومالا وبركة ومن كل خير ,1,تطوير الويب
هل لديك تجربة مع عملاء الدفع بالأجل  سأدفع لك بعد إنهاء العمل ,0,في الأعمال الكبيرة خصوصا  أعتقد أنه كنوع من إبداء الجدية يجب الإتفاق على خطة واحدة للدفع  خطة ٥٠  قبل وبعد مناسبة أما إن كان الرقم المدفوع سوف يعطل العمل على المشروع فيجب التنبيه بذلك وليس تأخير المشروع ألم يكن من الممكن إعلام الصديق أن ما دفعه يكفي لكذا ولا يكفي لكذا حتى يحدد قراره بين طلب التأخير أو دفع المزيد  أعتقد أن هذا القرار كان ليحل الأمر ولكن علاقات الأصدقاء العملية دوم ا يشوبها بعض الخلط بين العلاقات الشخصية والعمل وهذا مفهوم ,1,تطوير الويب
كيف يمكننا تأسيس متجر إلكتروني احترافي ,0,شكرا على طرحك الرائعمع العلم أن الوورد برس لا يسمح بانشاء المتاجر بشكل افتراضي وانما هذه وظيفة ل WooCommerceالتي تحول موقع الوورد برس الى متجر على الانترنتبالاصافة إلى أن الوورد برس يمكن التعديل على صفحاته ولو لم تكن خبيرا في البرمجة وايضا  من ناحية SEO يعتبر الووردبرس أفضل المواقع والمنصات المتوفرة,1,تطوير الويب
خوارزميات جوجل تلغي هذه المواقع والمدونات  ما هي الأسباب ,0,المشكلة أن بنود الحظر التي تعلن عنها شركة جوجل فضفاضة وغير واضحة وهذا مقصود فعل ا لكي تتمكن من حظر ما تريد بدون أن تنتهك تلك البنود التي هي بنفسها وضعتها وألزمت المستخدم بها   مثال   عند الاشتباك الذي حصل بين غزة والكيان المحتل العام الفائت قامت جوجل بحظر وحجب العديد من المقالات والفيديوهات التي تبين جرائم الكيان بحق غزة وكان الحظر بسبب  تحريض     خطاب كراهية  وما إلى ذلك من الشعارات الفضفاضة المبهمة التي تتيح لها التصرف كما يحلو لها في مثل هذه المواقف   ناهيك عن حظر مقالات تكشف حقيقة لقاحات كورونا وتجاوب عن الشكوكات حولها وأخرى عن التغيير الوراثي والنظام العالمي الجديد الذي أعلن عنه كلاوس شواب و     إلخ من المواضيع شبه المحظور انتقادها   وهذا الحظر أصبح في وقتنا هذا مهمته بالأساس هي تقليل عدد الوصول للمحتوى غير المرغوب انتشاره بالنسبة  لهم  وضع مئة خط تحت  هم  فكلنا يعلم من هم وماذا يريدون وفي الأخير هذا لا يعني أن سياسات الحظر سيئة   لا بالبطع  لا يمكننا إنكار أن هذه السياسات المتبعة من جوجل تحجب العديد من المواقع المسيئة حقا للقيم البشرية الأخلاقية دون وضع اعتبار للدين أو للقومية أو       ولكن أنت تعلم أن استخدام وتسخير يد الخير لمناصرة الشر أصبح شيء عادي حاليا وسياسات الحظر كهذه هي خير دليل على ذلك لهذا هذه هي سياسة سواء جوجل أو فيسبوك أو اليوتيوب والمواقع والتطبيقات التابعة لهم يا عزيزي ,0,تطوير الويب
عقوبات قادمة للمواقع التي تستخدم خطوط جوجل google font وكيف تتجن بها,0,م عظم الم دو نين العرب لن يتأثروا بالأمر نهائيا  ولا المواقع العربي ة  حتى الأوروبية منها  تغيير الأمر بالنسبة لهم ليس مكلفا  نهائيا  لا بالوقت ولا بالمال  لكن الم شكلة الحقيقية تكمن في قدرة غوغل على اجتذاب الكل إلى ساحته بشكل مفروغ منه لعدم توافر أي بديل رغم أن ه  أحيانا  ي عتبر خطر حقيقي على أجهزتنا وحياتنا  على الأقل بالمستقبل القريب  الذي سيكون طفرة بالعالم  لا أستطيع تخي ل تفاقم هذه القوة وتصو رها عام 2035 مثلا   ,0,تطوير الويب
لماذا ك ل هذه اللغات البرمجية,1,توجد العديد من اللغات البرمجية ويتم إختراع المزيد على الدوام ذلك أن الغرض الرئيسي لإستعمال البرمجة هو لحل مشكلات التقنية  وإعطاء المطور developer والمستخدم النهائي end user تجربة غنية ونظرا  لتطور التكنولوجيا المستمر وتغيير حاجات سوق العمل يتم بناء اللغات بمميزات معينة لتحل مشكلات بعينها  قد يبدو لك تشابه اللغات من خلال الsyntax أي طريقة الكتابة وربما تجد خواص مشتركة بين مجموعة من اللغات لكن في الحقيقة هناك خواص فريدة لكل لغة تميزها عن نظيراتها  مثلا  تستخدم لغة php لبناء الواجهة الخلفية backend لتطبيقات ويب لكن لا نستعملها لبناء تطبيقات الهاتف على نظام أندرويد مثلا  لأن هذا خارج نطاق أمكانياتها وتخصصها  وإست عملت  C كلغة برمجية في بناء نظام windows لكن هذا غير ممكن بإستعمال JavaScript مثلا  ,0,تطوير الويب
أهمية إبراز اسمك الخاص وبناء علامتك التجارية كمطو ر ويب للحصول على عملاء أكثر,0,وفي السياق نفسه يا صديقي  أرى أن صناعة المحتوى في الفترة التي نعاصرها الآن أمر لا بد منه  حيث أن الخبرة هنا تعتمد على الإعلان  ولا أعني الإعلان الممو ل وما شابه  وإنما أعني الإعلان بالمعنى الحرفي  حيث أن الخبرة لدى العديد من الأشخاص يتم إثباتها من خلال الإعلان الذاتي فقط  وبالتالي فإن عملنا على التسويق لأنفسنا يجب أن يكون في إطار مغامرتنا بالحديث عن الخبرات التي نمتلكها  أو نوع المعرفة التي يمكننا أن نقد مها باعتدال  وبما يتناسب مع ربحنا وعدم تقديم معلومات قي مة أكثر من اللازم بدون مقابل  لكن صناعة المحتوى التقني الخاص بمجال عملنا بشكل عام  لا البرمجة فقط  والعمل على تصديره للجمهور هو أمر في غاية الأهمية خلال هذه الرحلة  بغض النظر عن أسلوب العمل أو الجهة التي يعتمد عليها المسو ق لنفسه ,0,تطوير الويب
ما هي القواعد التي يجب إتباعها عند بناء موقع لشركتي ,0,لقد ذكرت فعل ا كل ما يمكن قوله عند تصميم المواقع وكلها نصائح مفيدة يجب الالتفات لها  لكن إن أحببت أن أضيف شيئ ا فقد يكون ,1,تطوير الويب
ما هي الأمور الواجب مراعتها في موقعي ليتوافق مع محركات البحث ,0,هناك مجموعة من الأمور الهامة التى يجب مراعاتها عند تأسيس الموقع الإلكتروني  حيث تعمل تلك البنية التي تم تأسيسها بشكل سليم على تسهيل مهمة برامج زحف محركات البحث وهذا يعني فهرسة أفضل وفرص أكبر في تحقيق تصنيفات أعلى فى نتائج البحث لموقعك  من هذه الامور نذكر منها علي سبيل الذكر ,0,تطوير الويب
هل تفضل أن يكون لديك أصدقاء مبرمجين ومطورين أم لا ,0,بالنسبة لي فأنا أفضل  الفصل بين كلمة  صديق  ككلمة عظيمة سامية خالية من أي مصلحة حتى لو كانت المصلحة هي الإستفادة وبين كلمة   زميل  ككلمة لا تحمل سوى المصلحة المادية والنفسية بالنسبة لي الصديق هو الذي لا تربطني به أي علاقة مهنية ولا معرفية سوى أنه صديق  وحتى لا أستطيع شرح لك معنى كلمة صديق بالنسبة لي  ولك أن تعتبرها أنها بالنسبة لي تعني قضاء الوقت بلا هدف سوى الحب والصداقة نعم قد يشجعني على الإستمرار في طريقي الخاص ولكنه ليس ملزما   كما أنه أبدا  لن ينصحني في طريقي المهني الذي وضعته لنفسي  لن أقبل منه هذا عموما   ,1,تطوير الويب
